p,d,q,P,D,Q,s,AIC,RMSE
0,0,0,0,0,0,12,812.8554778682586,18.271413034006407
0,0,0,0,0,1,12,635.3710162415798,9.510919449943353
0,0,0,0,0,2,12,3168.0915133608087,297.45851979845094
0,0,0,0,0,3,12,395.3237922968482,4.997457983979752
0,0,0,0,1,0,12,306.7702862481613,1.5480872307703062
0,0,0,0,1,1,12,266.13478434835355,1.5630296687977747
0,0,0,0,1,2,12,2413.239894833966,498.57534136701145
0,0,0,0,1,3,12,180.40748339243316,1.4450313603266018
0,0,0,0,2,0,12,318.86889757289197,2.241995225818421
0,0,0,0,2,1,12,232.0491718162065,1.4781183317258781
0,0,0,0,2,2,12,171.93735971903894,1.4318088996378153
0,0,0,0,2,3,12,128.037412452249,1.4233693742470748
0,0,0,1,0,0,12,315.954830903355,1.5486890008328793
0,0,0,1,0,1,12,309.9801431674182,1.5654014185804601
0,0,0,1,0,2,12,2181.9939046600116,3.309689153133359
0,0,0,1,0,3,12,235.2552741027494,1.5516349799115057
0,0,0,1,1,0,12,268.893544819588,1.563986535766928
0,0,0,1,1,1,12,268.0984137556429,1.5650448282712248
0,0,0,1,1,2,12,2465.136090971289,556.0769458523547
0,0,0,1,1,3,12,182.3877451692992,1.4284485541592309
0,0,0,1,2,0,12,258.98306033733127,1.8236541795392294
0,0,0,1,2,1,12,233.47991541412594,1.363976784434319
0,0,0,1,2,2,12,181.98641193406465,1.3475813573540028
0,0,0,1,2,3,12,125.60930594389917,1.4505236529253867
0,0,0,2,0,0,12,270.87937730880464,1.575739591759159
0,0,0,2,0,1,12,276.83334379678337,1.6782995920897468
0,0,0,2,0,2,12,2311.399550774431,5.668419202363733
0,0,0,2,0,3,12,235.52624302826692,1.544712567156124
0,0,0,2,1,0,12,233.8701778239864,1.5704595984082133
0,0,0,2,1,1,12,234.23058178867183,1.600067569856745
0,0,0,2,1,2,12,2759.351643717785,1.5844618898914142
0,0,0,2,1,3,12,172.5717514899957,1.476425225068689
0,0,0,2,2,0,12,187.79691056959769,1.4956044484191455
0,0,0,2,2,1,12,181.79933008585186,1.5737071991511489
0,0,0,2,2,2,12,178.94613799342972,1.5138298909823853
0,0,0,2,2,3,12,125.38509154600332,1.5134823193613143
0,0,0,3,0,0,12,235.84375336692173,1.5522681813691284
0,0,0,3,0,1,12,235.43825511418655,1.584721978242645
0,0,0,3,0,2,12,1971.870694655449,3.141438202772929
0,0,0,3,0,3,12,227.83895147467805,1.526347023345393
0,0,0,3,1,0,12,183.01045783296013,1.5225732566788446
0,0,0,3,1,1,12,180.00224705154537,1.5665375178130674
0,0,0,3,1,2,12,181.3683085261252,1.5915480293784223
0,0,0,3,1,3,12,175.85168577568476,1.4166252716447891
0,0,0,3,2,0,12,127.49303503566381,1.7221103177369594
0,0,0,3,2,1,12,127.38666324389207,1.732831303594079
0,0,0,3,2,2,12,129.38504541339236,1.7398644385824293
0,0,0,3,2,3,12,126.49582122857139,1.707657729091588
0,0,1,0,0,0,12,686.5741460351211,18.00114096170714
0,0,1,0,0,1,12,529.1926368506903,9.375442801178055
0,0,1,0,0,2,12,5014.879007153146,381.2324005385541
0,0,1,0,0,3,12,334.2686852182128,4.830671779168095
0,0,1,0,1,0,12,289.6007059670248,1.5493241365212147
0,0,1,0,1,1,12,245.5559026256988,1.6260891047728445
0,0,1,0,1,2,12,2615.0235763571804,499.9164704109756
0,0,1,0,1,3,12,171.0352969410728,1.5611146141235208
0,0,1,0,2,0,12,310.02743429429654,2.269990286219957
0,0,1,0,2,1,12,222.12721222257247,1.4577779783539455
0,0,1,0,2,2,12,166.1505924519729,1.3848041520493117
